EAN,Id,Title,Description,Availability,Condition,Stock,Price,Sale_Price,Shipping_price,Size,Color,Image_Link,Product_Type,Brand,Link
8806092561397,SM-F926BZGGEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1959.89 EUR,1799.90 EUR,0.0 EUR,512 GB,Phantom Green,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzggeub-477355880?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZGGEUB
8806092560895,SM-F926BZKDEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1859.90 EUR,1699.90 EUR,0.0 EUR,256 GB,Phantom Black,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzkdeub-477355899?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZKDEUB
8806092561403,SM-F926BZKGEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1959.89 EUR,1799.90 EUR,0.0 EUR,512 GB,Phantom Black,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzkgeub-477355919?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZKGEUB
8806092657090,SM-F926BZSDEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1859.90 EUR,1699.90 EUR,0.0 EUR,256 GB,Phantom Silver,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzsdeub-477355938?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZSDEUB
8806092615717,SM-R885FZKAPHE,Galaxy Watch4 Classic 4G (42mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,422.26 EUR,379.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400315-sm-r885fzkaphe-482232601?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-4G-%2842mm%29/p/SM-R885FZKAPHE
8806092615731,SM-R885FZSAPHE,Galaxy Watch4 Classic 4G (42mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,422.26 EUR,379.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400315-sm-r885fzsaphe-482232614?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-4G-%2842mm%29/p/SM-R885FZSAPHE
8806092657083,SM-F926BZSGEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1959.89 EUR,1799.90 EUR,0.0 EUR,512 GB,Phantom Silver,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzsgeub-477355957?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZSGEUB
8806092520035,SM-R890NZKAPHE,Galaxy Watch4 Classic Bluetooth (46mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,402.26 EUR,349.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-sm-r890nzkaphe-481839433?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-Bluetooth-%2846mm%29/p/SM-R890NZKAPHE
8806092555808,SM-R890NZSAPHE,Galaxy Watch4 Classic Bluetooth (46mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,402.26 EUR,349.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-sm-r890nzsaphe-481839449?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-Bluetooth-%2846mm%29/p/SM-R890NZSAPHE
8806092557789,SM-R880NZKAPHE,Galaxy Watch4 Classic Bluetooth (42mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,372.26 EUR,329.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400206-sm-r880nzkaphe-481867053?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-Bluetooth-%2842mm%29/p/SM-R880NZKAPHE
